State,Drive Alone,PublicTransportation,Walk,"Car Pool","Taxicab, motorcycle, or other means","total people",public
Alabama,1743217,7433,22659,173758,18398,1965465,0.38
Alaska,247111,5453,28714,44744,15474,341496,1.6
Arizona,2234990,58267,57699,317969,49143,2718068,2.14
Arkansas,1044010,4663,21933,132343,13174,1216123,0.38
California,12950487,909679,470101,1830958,264165,16425390,5.54
Colorado,2062986,86517,78198,249838,28125,2505664,3.45
Connecticut,1387093,86778,51059,143925,14744,1683599,5.15
Delaware,354471,12198,9244,34822,3482,414217,2.94
District of Columbia,120608,125641,46967,19158,5860,318234,39.48
Florida,7079760,180231,129801,820961,137358,8348111,2.16
Georgia,3617832,97418,68505,455684,65032,4304471,2.26
Hawaii,466216,46028,31668,95171,17290,656373,7.01
Idaho,579041,5235,20052,73071,8776,686175,0.76
Illinois,4457921,569355,184620,485878,67723,5765497,9.88
Indiana,2547743,32148,64177,269279,29972,2943319,1.09
Iowa,1275048,17161,53677,132007,15033,1492926,1.15
Kansas,1165391,6829,33705,127940,14788,1348653,0.51
Kentucky,1569519,20645,44035,183386,22196,1839781,1.12
Louisiana,1659358,26340,35759,189325,29149,1939931,1.36
Maine,506626,4142,25317,62820,7203,606108,0.68
Maryland,2220170,263851,71857,275002,31814,2862694,9.22
Massachusetts,2440463,352153,167203,258167,39508,3257494,10.81
Michigan,3657462,62245,97441,387929,35807,4240884,1.47
Minnesota,2224424,102928,78485,243027,24753,2673617,3.85
Mississippi,1027789,4135,17411,113591,18406,1181332,0.35
Missouri,2319217,41877,54038,251905,28200,2695237,1.55
Montana,370953,3721,25139,47733,5293,452839,0.82
Nebraska,797301,6629,26519,89178,8690,928317,0.71
Nevada,1034708,45950,26359,137770,22428,1267215,3.63
New Hampshire,563656,6059,19407,55803,7306,652231,0.93
New Jersey,3074062,493428,128622,344646,65043,4105801,12.02
New Mexico,701859,9801,18700,85836,10755,826951,1.19
New York,4906304,2615273,579374,611028,115806,8827785,29.63
North Carolina,3709128,47903,83872,434719,48918,4324540,1.11
North Dakota,322855,2008,14427,35749,3031,378070,0.53
Ohio,4490622,87702,120360,414215,45763,5158662,1.7
Oklahoma,1431754,7545,29789,173974,19208,1662270,0.45
Oregon,1319247,82303,69807,188632,19858,1679847,4.9
Pennsylvania,4568454,332315,225480,505448,53356,5685053,5.85
Puerto Rico,828868,21692,32317,85272,17296,985445,2.2
Rhode Island,409991,13644,19347,44315,4785,492082,2.77
South Carolina,1791769,12509,46842,202215,26095,2079430,0.6
South Dakota,345719,2367,16085,38302,4004,406477,0.58
Tennessee,2466424,22047,40023,264282,33134,2825910,0.78
Texas,10097917,187311,195192,1299410,174791,11954621,1.57
Utah,1059348,34885,35391,157824,14666,1302114,2.68
Vermont,242439,3958,17791,28351,2958,295497,1.34
Virginia,3183253,182233,100758,381323,53125,3900692,4.67
Washington,2450802,215195,120440,340733,40749,3167919,6.79
West Virginia,602207,6304,21224,70759,7247,707741,0.89
Wisconsin,2339955,53566,92426,233978,26146,2746071,1.95
Wyoming,225085,3901,11638,30071,3248,273943,1.42
